"","Var1","Freq"
"1","미혼女",4
"2","섹시女",4
"3","잔혹女",4
"4","채팅女",4
"5","노티女ㆍ뚱뚱男",3
"6","연상女",3
"7","기혼女",2
"8","내연女",2
"9","몽골女",2
"10","베트남女",2
"11","비만女",2
"12","성인女",2
"13","외국女",2
"14","이웃女",2
"15","절도女",2
"16","정신지체女",2
"17","직장女",2
"18","개성女",1
"19","귀가女",1
"20","내숭女",1
"21","노티女",1
"22","대졸女",1
"23","동성애女",1
"24","반인륜女",1
"25","부킹女",1
"26","불륜상대女",1
"27","상대女",1
"28","순찰女",1
"29","스토커女",1
"30","약혼女",1
"31","연하女",1
"32","운전女",1
"33","위하女",1
"34","의뢰女",1
"35","이혼女",1
"36","재혼대상女",1
"37","재혼女",1
"38","젊은女",1
"39","종신보험ㆍ女",1
"40","쿠르드女",1
"41","테러女",1
"42","흡연女",1
"43","奇女",1
