"","Var1","Freq"
"1","폭행男",26
"2","중년男",7
"3","인도男",6
"4","난동男",5
"5","동승男",4
"6","짝사랑男",4
"7","살해男",3
"8","확진男",3
"9","가해男",2
"10","고민男",2
"11","무쏘男",2
"12","변태男",2
"13","상대男",2
"14","성추행男",2
"15","성폭행男",2
"16","스토커男",2
"17","시비男",2
"18","실행男",2
"19","안대男",2
"20","알몸男",2
"21","영국男",2
"22","유포男",2
"23","자수男",2
"24","촬영男",2
"25","턱스크男",2
"26","한국인男",2
"27","갱년기男",1
"28","고령男",1
"29","구매男",1
"30","군미필男",1
"31","깔끔男",1
"32","꾀병男",1
"33","남성男",1
"34","농성男",1
"35","단발머리男",1
"36","데이트폭력男",1
"37","독거男",1
"38","독신男",1
"39","동거男",1
"40","라텍스男",1
"41","런닝셔츠男",1
"42","만취男",1
"43","매트리스男",1
"44","몰카男",1
"45","문신男",1
"46","문어발男",1
"47","백인男",1
"48","베트남男",1
"49","벤츠男",1
"50","벤틀리男",1
"51","부킹男",1
"52","빨간치마男",1
"53","사냥男",1
"54","살인男",1
"55","상냥男",1
"56","서울역男",1
"57","성인男",1
"58","성희롱男",1
"59","소개팅男",1
"60","수상한男",1
"61","순정男",1
"62","스토킹男",1
"63","아마존男",1
"64","알바男",1
"65","엉만튀男",1
"66","역주행男",1
"67","용의자男",1
"68","우산男",1
"69","윗집男",1
"70","유도男",1
"71","의문男",1
"72","이란男",1
"73","자전거男",1
"74","전화男",1
"75","정체불명男",1
"76","족발男",1
"77","중국인男",1
"78","지적장애男",1
"79","직장男",1
"80","진상男",1
"81","청주男",1
"82","카자흐스탄男",1
"83","탈북男",1
"84","투척男",1
"85","폭력男",1
"86","폭행사건男",1
"87","한국男",1
"88","혼자男",1
"89","횡설수설男",1
"90","흉기난동男",1
"91","흉기습격男",1
"92","흑인男",1
"93","히드라男",1
"94","男女",1
