"","Var1","Freq"
"1","고소女",58
"2","미혼女",14
"3","지적장애女",12
"4","돌싱女",11
"5","경단女",8
"6","소개팅女",8
"7","태국女",8
"8","만취女",7
"9","피해女",7
"10","내연女",6
"11","성매매女",6
"12","주장女",6
"13","경력단절女",5
"14","무슬림女",5
"15","신고女",4
"16","연상女",4
"17","결혼이주女",3
"18","무고女",3
"19","불륜女",3
"20","비키니女",3
"21","서울女",3
"22","아랍女",3
"23","오피女",3
"24","채팅女",3
"25","폭행女",3
"26","한국女",3
"27","강남패치女",2
"28","강남女",2
"29","기혼女",2
"30","나체女",2
"31","대졸女",2
"32","동거女",2
"33","또래女",2
"34","마사지업소女",2
"35","만난女",2
"36","맞선女",2
"37","모델女",2
"38","민폐女",2
"39","베트남女",2
"40","벤츠女",2
"41","사기女",2
"42","사별女",2
"43","사실혼女",2
"44","스웨덴女",2
"45","스토킹女",2
"46","신원미상女",2
"47","실종女",2
"48","싱글女",2
"49","알몸女",2
"50","옹호女",2
"51","외국女",2
"52","운영女",2
"53","자기과시형女",2
"54","장애女",2
"55","절도女",2
"56","주폭女",2
"57","중국동포女",2
"58","중국女",2
"59","직장女",2
"60","친척女",2
"61","탈북女",2
"62","투숙女",2
"63","페루女",2
"64","협박女",2
"65","호주女",2
"66","D컵女",1
"67","OO女",1
"68","가입女",1
"69","가출女",1
"70","갑질女",1
"71","강제추행女",1
"72","거주女",1
"73","거女",1
"74","고학력女",1
"75","공범女",1
"76","관람女",1
"77","교포女",1
"78","금성女",1
"79","내숭女",1
"80","네덜란드女",1
"81","누드女",1
"82","다방女",1
"83","단기복무女",1
"84","대장내시경女",1
"85","데려간女",1
"86","독살女",1
"87","독신女",1
"88","동석女",1
"89","동성연애女",1
"90","마사지女",1
"91","매력女",1
"92","먹이던女",1
"93","멕시코女",1
"94","무개념女",1
"95","무릎女",1
"96","무속女",1
"97","미니스커트女",1
"98","미모女",1
"99","미성년女",1
"100","민간인女",1
"101","민머리女",1
"102","민페女",1
"103","배은망덕女",1
"104","배짱女",1
"105","백색증女",1
"106","백인女",1
"107","블루女",1
"108","비만女",1
"109","뻔뻔女",1
"110","살인미수女",1
"111","살인女",1
"112","살해女",1
"113","삶다女",1
"114","상간女",1
"115","상대女",1
"116","상속女",1
"117","상의탈의女",1
"118","새내기女",1
"119","섹시女",1
"120","소매치기女",1
"121","소심女",1
"122","수배女",1
"123","스토커女",1
"124","신경섬유종女",1
"125","싫女",1
"126","아시아女",1
"127","아우디女",1
"128","안면이식女",1
"129","알바女",1
"130","업소女",1
"131","엉짱女",1
"132","여드름女",1
"133","여우女",1
"134","연하女",1
"135","열등감女",1
"136","염산테러女",1
"137","왕따女",1
"138","외국인女",1
"139","외도女",1
"140","욕설항의女",1
"141","용모단정女",1
"142","우울증女",1
"143","우즈베키스탄女",1
"144","운동女",1
"145","위기女",1
"146","유포女",1
"147","음주운전女",1
"148","의심女",1
"149","이과女",1
"150","이주女",1
"151","일반인女",1
"152","일반女",1
"153","자살시도女",1
"154","자해공갈女",1
"155","장애인女",1
"156","재혼희망女",1
"157","전문털이女",1
"158","접견女",1
"159","정상체중女",1
"160","정신장애女",1
"161","정신질환女",1
"162","중국인女",1
"163","중년女",1
"164","직장동료ㆍ성매매女",1
"165","직장인女",1
"166","직진女",1
"167","진상女",1
"168","집주인女",1
"169","짝사랑女",1
"170","짝사량女",1
"171","쩍벌女",1
"172","차도女",1
"173","첫고소女",1
"174","첫번째女",1
"175","청혼한女",1
"176","촬영女",1
"177","추행女",1
"178","출가女",1
"179","출산女",1
"180","출연女",1
"181","캐리어女",1
"182","탈의실女",1
"183","탈출女",1
"184","테러女",1
"185","투신女",1
"186","트렁크女",1
"187","특종女",1
"188","폐경기女",1
"189","피살女",1
"190","필로폰女",1
"191","하의실종女",1
"192","한남패치女",1
"193","한인女",1
"194","허위신고女",1
"195","혼자사는女",1
"196","황당女",1
"197","효녀연합女",1
"198","효도女",1
"199","희망女",1
"200","ㆍ女",1
"201","禁女",1
"202","聖女",1
